id,lastname,firstname,fullname,nicknames,bats,throws,number,teamid
cassn,Cass,Nicky,Nick Cassano,Nicky Cass,R,R,2,LOV
canobbio,Canobbio,Dan,Dan Canobbio,Old Man Dan,L,L,23,HKL
dabl,Dab,Lou,Lou Dab,,R,R,4,CAR
davisd,David,Drew,Drew Davis,,R,R,11,HKL
demalial,DeMalia,Lorenzo,Lorenzo DeMalia,Zo,R,R,77,ICE
doylej,Doyle,Jack,Jack Doyle,,R,R,00,ICE
feelyd,Feely,Dalton,Dalton Feely,,R,R,14,LOV
knorpj,Knorp,Jimmy,Jimmy Knorp,,R,R,7,WOO
kollins,Kollin,Stone,Kollin Stone,Stoner,R,R,1,MCF
macdonaldk,MacDonald,Kyle,Kyle MacDonald,K-Mac,L,R,69,MCF
obrienj,O'Brien,Jimmy,James Michael O'Brien,Jomboy,R,R,14,BAG
plouffe,Plouffe,Trevor,Trevor Plouffe,Special T,R,R,24,ROT
robinsond,Robinson,Dan,Dan Robinson,Shelfy,R,R,11,ROT
rourked,Rourke,Dan,Dan Alan Rourke,,R,R,99,WOO
solanoj,Solano,Joseph,Joseph Solano,Joez McFly,R,R,23,CAR
storialej,Storiale,Jake,Jake Storiale,Rocky,R,R,24,BAG
