teamid,name,active
AJR,Average Joe Randoms,false
BAG,Baggage,true
BBB,Blue Belly Babies,true
BRK,Breakdowns,true
BSB,Broad Street Bullies,false
CAR,Del Caribe,true
COM,Como Captains,false
FRZ,Freezers,true
GDF,Goodfellas,false
H2B,Happy 2 Be Here,false
HKL,Hookline Sinkers,true
ICE,We Got Ice,true
JMO,JM Office,false
LOV,Love Yas,true
MCF,MacFlurry Power,true
MLW,MLW Snakes,false
PSS,Pinstripe Strong,false
RIP,Rippers,true
RIV,Rivalry,false
ROT,Forgotten Rotten,true
SBB,Scribble Baby Boys,true
SHS,Shea Station,false
SPL,Splat Elite,false
STO,Story,true
STH,Southpaws,false
WTJ,Water Jug,false
WMB,Worm Burners,false
WOO,Woogas,true
